playlist_name,playlist_uri,playlist_tracks_url,playlist_num_tracks,snapshot_id,playlist_img,track_name,track_uri,artist_name,album_name,album_img,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
Liked from Radio,0q62jTfffd2YA71vNcwMql,https://api.spotify.com/v1/users/liraop/playlists/0q62jTfffd2YA71vNcwMql/tracks,98,bK2SpMKHGugUY8AmfAA/Q5Szt9H1IgQe7lz48CE4LTGjt71qFhOxAGBtLsDWUUUn,https://mosaic.scdn.co/640/324d0c58ea9d8d4a56ad6e1a07b28cc3b914cd6e43a94d727b264c763909d8b57ee8e20059f47a6f7c2ddcaf6e3aacc89a6470dcac04cb58c9a423068c0834550252a673f67f74afe2325133a7ddaa30,adelaide,25BUVsYoUJ3eqRP22s3FDR,Mombojó,Nadadenovo,https://i.scdn.co/image/498836902cccde3954c60c2310ecdde25555a534,20,0.44,0.859,D,-8.573,major,0.0892,0.271,0.65,0.61,0.326,149.955,125520,4,D major
Liked from Radio,0q62jTfffd2YA71vNcwMql,https://api.spotify.com/v1/users/liraop/playlists/0q62jTfffd2YA71vNcwMql/tracks,98,bK2SpMKHGugUY8AmfAA/Q5Szt9H1IgQe7lz48CE4LTGjt71qFhOxAGBtLsDWUUUn,https://mosaic.scdn.co/640/324d0c58ea9d8d4a56ad6e1a07b28cc3b914cd6e43a94d727b264c763909d8b57ee8e20059f47a6f7c2ddcaf6e3aacc89a6470dcac04cb58c9a423068c0834550252a673f67f74afe2325133a7ddaa30,Da Lama ao Caos,5G3DIojPwYLhkgem62QmFU,Chico Science,Da Lama Ao Caos,https://i.scdn.co/image/404d37f0514866381827461af1ce1737ee53d980,46,0.639,0.915,B,-8.368,major,0.0404,0.00173,3.19e-4,0.113,0.396,102.55,271800,4,B major
Liked from Radio,0q62jTfffd2YA71vNcwMql,https://api.spotify.com/v1/users/liraop/playlists/0q62jTfffd2YA71vNcwMql/tracks,98,bK2SpMKHGugUY8AmfAA/Q5Szt9H1IgQe7lz48CE4LTGjt71qFhOxAGBtLsDWUUUn,https://mosaic.scdn.co/640/324d0c58ea9d8d4a56ad6e1a07b28cc3b914cd6e43a94d727b264c763909d8b57ee8e20059f47a6f7c2ddcaf6e3aacc89a6470dcac04cb58c9a423068c0834550252a673f67f74afe2325133a7ddaa30,It's Real,1AdzdEpJUgfAjEoawncljQ,Real Estate,Days,https://i.scdn.co/image/aa2f8963ef47f636dc8f76b95612cb4d11f813db,1,0.419,0.856,D,-5.443,major,0.0298,0.00928,0.0964,0.124,0.721,152.009,168493,4,D major
Liked from Radio,0q62jTfffd2YA71vNcwMql,https://api.spotify.com/v1/users/liraop/playlists/0q62jTfffd2YA71vNcwMql/tracks,98,bK2SpMKHGugUY8AmfAA/Q5Szt9H1IgQe7lz48CE4LTGjt71qFhOxAGBtLsDWUUUn,https://mosaic.scdn.co/640/324d0c58ea9d8d4a56ad6e1a07b28cc3b914cd6e43a94d727b264c763909d8b57ee8e20059f47a6f7c2ddcaf6e3aacc89a6470dcac04cb58c9a423068c0834550252a673f67f74afe2325133a7ddaa30,Why Won't They Talk to Me?,40lZVP5bvLvcY8K52CYliA,Tame Impala,Lonerism,https://i.scdn.co/image/f52cab7dbfe7621d253088d7f2e0bbb31529de0f,0,0.516,0.871,G,-5.21,major,0.0503,0.553,0.0282,0.0841,0.17,129.946,286093,4,G major
Liked from Radio,0q62jTfffd2YA71vNcwMql,https://api.spotify.com/v1/users/liraop/playlists/0q62jTfffd2YA71vNcwMql/tracks,98,bK2SpMKHGugUY8AmfAA/Q5Szt9H1IgQe7lz48CE4LTGjt71qFhOxAGBtLsDWUUUn,https://mosaic.scdn.co/640/324d0c58ea9d8d4a56ad6e1a07b28cc3b914cd6e43a94d727b264c763909d8b57ee8e20059f47a6f7c2ddcaf6e3aacc89a6470dcac04cb58c9a423068c0834550252a673f67f74afe2325133a7ddaa30,Nocturne,6EaQNQrHDb4HZixDoJ6Cgr,Wild Nothing,Nocturne,https://i.scdn.co/image/6e8f5c2fd04e92099f695d12a05c5981e69faf42,0,0.592,0.803,C,-9.908,major,0.031,0.00143,0.416,0.417,0.845,121.036,318960,4,C major
Liked from Radio,0q62jTfffd2YA71vNcwMql,https://api.spotify.com/v1/users/liraop/playlists/0q62jTfffd2YA71vNcwMql/tracks,98,bK2SpMKHGugUY8AmfAA/Q5Szt9H1IgQe7lz48CE4LTGjt71qFhOxAGBtLsDWUUUn,https://mosaic.scdn.co/640/324d0c58ea9d8d4a56ad6e1a07b28cc3b914cd6e43a94d727b264c763909d8b57ee8e20059f47a6f7c2ddcaf6e3aacc89a6470dcac04cb58c9a423068c0834550252a673f67f74afe2325133a7ddaa30,Half Full Glass Of Wine,5oDvT6FgNqIeFFffxZVnpL,Tame Impala,InnerSpeaker (Collector's Edition),https://i.scdn.co/image/8797e5d0576933487c2d21d368ee56573c7c88d9,50,0.673,0.759,C,-6.98,major,0.0871,0.282,0.0444,0.0848,0.712,126.235,266160,4,C major
Liked from Radio,0q62jTfffd2YA71vNcwMql,https://api.spotify.com/v1/users/liraop/playlists/0q62jTfffd2YA71vNcwMql/tracks,98,bK2SpMKHGugUY8AmfAA/Q5Szt9H1IgQe7lz48CE4LTGjt71qFhOxAGBtLsDWUUUn,https://mosaic.scdn.co/640/324d0c58ea9d8d4a56ad6e1a07b28cc3b914cd6e43a94d727b264c763909d8b57ee8e20059f47a6f7c2ddcaf6e3aacc89a6470dcac04cb58c9a423068c0834550252a673f67f74afe2325133a7ddaa30,Needle And A Knife,0Y3USbWLFURVecG0pyCWqu,Tennis,Ritual In Repeat,https://i.scdn.co/image/46e581ade1ec2d7ae0663364c549efa6028409f3,0,0.621,0.895,F#,-5.449,major,0.0286,0.00576,0.0129,0.0613,0.962,100.579,203440,4,F# major
Liked from Radio,0q62jTfffd2YA71vNcwMql,https://api.spotify.com/v1/users/liraop/playlists/0q62jTfffd2YA71vNcwMql/tracks,98,bK2SpMKHGugUY8AmfAA/Q5Szt9H1IgQe7lz48CE4LTGjt71qFhOxAGBtLsDWUUUn,https://mosaic.scdn.co/640/324d0c58ea9d8d4a56ad6e1a07b28cc3b914cd6e43a94d727b264c763909d8b57ee8e20059f47a6f7c2ddcaf6e3aacc89a6470dcac04cb58c9a423068c0834550252a673f67f74afe2325133a7ddaa30,Fall Right In,2F63erfPWawQ2l29agdLFa,Beach Fossils,What a Pleasure,https://i.scdn.co/image/4cb0044bef638f9c583f89d5cf057e93bb323d86,30,0.57,0.813,C,-6.433,major,0.0483,0.0182,0.514,0.131,0.796,139.989,153486,4,C major
Liked from Radio,0q62jTfffd2YA71vNcwMql,https://api.spotify.com/v1/users/liraop/playlists/0q62jTfffd2YA71vNcwMql/tracks,98,bK2SpMKHGugUY8AmfAA/Q5Szt9H1IgQe7lz48CE4LTGjt71qFhOxAGBtLsDWUUUn,https://mosaic.scdn.co/640/324d0c58ea9d8d4a56ad6e1a07b28cc3b914cd6e43a94d727b264c763909d8b57ee8e20059f47a6f7c2ddcaf6e3aacc89a6470dcac04cb58c9a423068c0834550252a673f67f74afe2325133a7ddaa30,Polish Girl,6wArvSF6GgUHJ6npVXuElH,Neon Indian,Era Extraña,https://i.scdn.co/image/a05b3de2476a3239fcbfa8ec31e15cf00a9025d5,0,0.629,0.881,A,-4.163,minor,0.0349,0.00477,3.78e-5,0.118,0.476,111.978,266013,4,A minor
Liked from Radio,0q62jTfffd2YA71vNcwMql,https://api.spotify.com/v1/users/liraop/playlists/0q62jTfffd2YA71vNcwMql/tracks,98,bK2SpMKHGugUY8AmfAA/Q5Szt9H1IgQe7lz48CE4LTGjt71qFhOxAGBtLsDWUUUn,https://mosaic.scdn.co/640/324d0c58ea9d8d4a56ad6e1a07b28cc3b914cd6e43a94d727b264c763909d8b57ee8e20059f47a6f7c2ddcaf6e3aacc89a6470dcac04cb58c9a423068c0834550252a673f67f74afe2325133a7ddaa30,Mind Mischief,2PaJO22O7TccqYMe998wkM,Tame Impala,Lonerism,https://i.scdn.co/image/b7aa0fd057ac13eaee00822c7c2b218956c0e21c,55,0.26,0.938,F#,-3.17,major,0.0531,0.0728,0.0028,0.369,0.865,161.349,271880,4,F# major
Liked from Radio,0q62jTfffd2YA71vNcwMql,https://api.spotify.com/v1/users/liraop/playlists/0q62jTfffd2YA71vNcwMql/tracks,98,bK2SpMKHGugUY8AmfAA/Q5Szt9H1IgQe7lz48CE4LTGjt71qFhOxAGBtLsDWUUUn,https://mosaic.scdn.co/640/324d0c58ea9d8d4a56ad6e1a07b28cc3b914cd6e43a94d727b264c763909d8b57ee8e20059f47a6f7c2ddcaf6e3aacc89a6470dcac04cb58c9a423068c0834550252a673f67f74afe2325133a7ddaa30,Mr Bobby,6nRhmifOuJbqEeWofgyo4B,Manu Chao,Proxima Estacion: Esperanza,https://i.scdn.co/image/cd60c5197b16d4922d198c96d28be5b41e787b8e,1,0.646,0.543,A,-7.065,minor,0.0292,0.691,0.0127,0.238,0.967,150.053,229360,4,A minor
